prompt_id	prompt_text	ref_id	reference_name	reference_text	model_id	model_name	candidate_text	win_ratio	counts
201	What 's your favorite hobby ?	11	DBDC Human Baseline 1	reading ... nope I'm lying, probably, playing video games, watching TV, or playing tennis.	21	Transformer (target filtered)	i 'd like reading books best .	0.26666666666666666	15.0
202	hi there !	11	DBDC Human Baseline 1	Hi!	21	Transformer (target filtered)	hi ! is there anything i can do for you ?	0.3333333333333333	15.0
203	i am not a huge fan of board games	11	DBDC Human Baseline 1	me neither.	21	Transformer (target filtered)	i have n't heard that . it is so important that you want to be a game of some popular game .	0.2	15.0
204	Super going to the beach this weekend	11	DBDC Human Baseline 1	Wow! Must be nice!	21	Transformer (target filtered)	really ? i thought you said you were going to be there .	0.26666666666666666	15.0
205	What about the news ?	11	DBDC Human Baseline 1	I don't want to talk about the news.	21	Transformer (target filtered)	you don t know ? the company is going to replace these old computers with the latest ones .	0.3333333333333333	15.0
206	Where 's that last name from ?	11	DBDC Human Baseline 1	Africa	21	Transformer (target filtered)	i 'm flying home from the san francisco .	0.3333333333333333	15.0
207	Do you like cats	11	DBDC Human Baseline 1	yeah	21	Transformer (target filtered)	no i don t like cats .	0.3333333333333333	15.0
208	hey please behave yourself !	11	DBDC Human Baseline 1	uh ?? 	21	Transformer (target filtered)	ok sister would like this kind of pie .	0.3333333333333333	15.0
209	how about Baseball ?	11	DBDC Human Baseline 1	?	21	Transformer (target filtered)	no . i 'm sorry .	0.4	15.0
210	But you are more	11	DBDC Human Baseline 1	more what?	21	Transformer (target filtered)	what are you talking about ?	0.26666666666666666	15.0
211	Well , I guess this is goodbye .	11	DBDC Human Baseline 1	ok goodbye	21	Transformer (target filtered)	stay a little longer . bye .	0.6	15.0
212	Have you been well ?	11	DBDC Human Baseline 1	yeah not bad	21	Transformer (target filtered)	fine thank you .	0.4	15.0
213	yes tell me	11	DBDC Human Baseline 1	I don't know what to tell you.	21	Transformer (target filtered)	you 're a really good cook .	0.4666666666666667	15.0
214	I don 't think so . That 's pretty rude , actually . What else did you want to talk about ?	11	DBDC Human Baseline 1	I wasn't being rude. I don't think I want to talk to you anymore.	21	Transformer (target filtered)	well i did n't want to get into the future either .	0.3333333333333333	15.0
215	i like food	11	DBDC Human Baseline 1	Me too!	21	Transformer (target filtered)	i like the food there .	0.2	15.0
216	what do you know Alex	11	DBDC Human Baseline 1	huh?	21	Transformer (target filtered)	are you a member of the company ?	0.4666666666666667	15.0
217	Is Robbie a girl ?	11	DBDC Human Baseline 1	I don't know.	21	Transformer (target filtered)	that 's her .	0.3333333333333333	15.0
218	There is so much great music out there I don 't blame you .	11	DBDC Human Baseline 1	Thanks! Yeah it is hard to pick a favorite	21	Transformer (target filtered)	yeah i know . i do n't want to be my favorite .	0.4	15.0
219	when you don 't like what ?	11	DBDC Human Baseline 1	huh? That doesn't make sense	21	Transformer (target filtered)	well it 's big and energetic .	0.4	15.0
220	So what was the last movie you saw ?	11	DBDC Human Baseline 1	Black Panther	21	Transformer (target filtered)	i was n't really scared .	0.4666666666666667	15.0
221	Is this your first time flying ?	11	DBDC Human Baseline 1	No, I've flown a lot.	21	Transformer (target filtered)	yes . i 'm going to san francisco .	0.3333333333333333	15.0
222	oh , ok ..	11	DBDC Human Baseline 1	huh	21	Transformer (target filtered)	and i travelled a little bit in australia . i went up the east coast . up to frasier island . which is a world heritage site . and i saw dingo running along the beach and sharks in the water . we climbed cliffs and went through a rain forest and went camping and went up to the . which is	0.3333333333333333	15.0
223	what ? you are not my boss	11	DBDC Human Baseline 1	yes I am right now!	21	Transformer (target filtered)	she told me that she 'd kept you an accident .	0.2	15.0
224	Hi : )	11	DBDC Human Baseline 1	Hi	21	Transformer (target filtered)	what are you planning to do today ?	0.3333333333333333	15.0
225	What do you get high on ?	11	DBDC Human Baseline 1	life	21	Transformer (target filtered)	we re having a heart on our own . i just want to get a hair done .	0.6	15.0
226	I have never really been interested	11	DBDC Human Baseline 1	In life?	21	Transformer (target filtered)	really ? how can you be more interested in it ?	0.4666666666666667	15.0
227	me too	11	DBDC Human Baseline 1	???	21	Transformer (target filtered)	we should do this more often .	0.4	15.0
228	ups , sorry , what is it then ?	11	DBDC Human Baseline 1	I don't know	21	Transformer (target filtered)	it is a better way to make men .	0.4666666666666667	15.0
229	My favorite movie is Liar Liar .	11	DBDC Human Baseline 1	I don't know that one.	21	Transformer (target filtered)	i 'm not a man like it either .	0.06666666666666667	15.0
230	Both . I play softball and watch baseball and football .	11	DBDC Human Baseline 1	cool.. I play tennis, but I haven't played in quiet a while	21	Transformer (target filtered)	sounds like you could play it soon .	0.3333333333333333	15.0
231	Already bored of politics ? Okay let 's talk about television shows .	11	DBDC Human Baseline 1	Yes thank you! I like TV much more than politics	21	Transformer (target filtered)	she might have a pretty good movie . she is pretty serious about her .	0.4666666666666667	15.0
232	llaollao	11	DBDC Human Baseline 1	??? what does that mean?	21	Transformer (target filtered)	ok you will be hearing from mr wood later in the afternoon then mr john .	0.3333333333333333	15.0
233	yes , believe i dont really have neither time nor good mood to talk to you	11	DBDC Human Baseline 1	Well I don't want to talk to you either then.	21	Transformer (target filtered)	you 'll be able to play some golf with a little more .	0.4666666666666667	15.0
234	yes ?	11	DBDC Human Baseline 1	huh?	21	Transformer (target filtered)	i 'm afraid you ca n't smoke here .	0.4666666666666667	15.0
235	what are you up to ?	11	DBDC Human Baseline 1	not much. Distracting myself away from work.	21	Transformer (target filtered)	i 'm just trying to complete today 's crossword puzzle . whenever i get the time i like to do the crossword puzzles in the paper .	0.26666666666666666	15.0
236	OK , what do you think about politics today ?	11	DBDC Human Baseline 1	I don't want to talk about it.	21	Transformer (target filtered)	i think she is pretty easy to follow .	0.2	15.0
237	who is your favorite composer ?	11	DBDC Human Baseline 1	Oh that's a hard question. Recently, Dizzy Gillespie.	21	Transformer (target filtered)	i do n't have one single favorite but these days i listen to a lot of <unk> .	0.5333333333333333	15.0
238	I don 't think so .	11	DBDC Human Baseline 1	why?	21	Transformer (target filtered)	how about going to a concert ?	0.4	15.0
239	Are you a real person ?	11	DBDC Human Baseline 1	yes	21	Transformer (target filtered)	i am not the person we 're talking about .	0.4	15.0
240	Really well I like Anchovies and Pineapple on my pizza .	11	DBDC Human Baseline 1	Ugh! That sounds horrible!	21	Transformer (target filtered)	ok then i want to invite you to watch one !	0.2	15.0
241	fine with me !	11	DBDC Human Baseline 1	OK	21	Transformer (target filtered)	damp it ! how are you killing me with a single shot ? it s not fair ! i don t want to play anymore ! let s go get something to eat .	0.3333333333333333	15.0
242	ok , what happened to your dad 's mouth	11	DBDC Human Baseline 1	huh? Don't talk about my dad.	21	Transformer (target filtered)	well he lost his kids so he said he had to have the hospital .	0.3333333333333333	15.0
243	I was busy	11	DBDC Human Baseline 1	I'm always busy nowadays	21	Transformer (target filtered)	you 'll have to go now .	0.4666666666666667	15.0
244	do you like usher ?	11	DBDC Human Baseline 1	NO!!	21	Transformer (target filtered)	it is one of the best haunted houses in the world .	0.3333333333333333	15.0
245	You are a robot	11	DBDC Human Baseline 1	no I'm not.	21	Transformer (target filtered)	yes i am giving a special discount for my wife .	0.4	15.0
246	do you like michael jackson ?	11	DBDC Human Baseline 1	yes. Do you?	21	Transformer (target filtered)	yes he has . have you seen his computer yet ?	0.4	15.0
247	here ?	11	DBDC Human Baseline 1	where?	21	Transformer (target filtered)	that 's right . now you can get your refund .	0.3333333333333333	15.0
248	What is you favorite song ?	11	DBDC Human Baseline 1	I don't know. I like many different genres.	21	Transformer (target filtered)	i like the song .	0.13333333333333333	15.0
249	how are you	11	DBDC Human Baseline 1	good.	21	Transformer (target filtered)	i m great . thanks .	0.4666666666666667	15.0
250	Which movie is your favorite ?	11	DBDC Human Baseline 1	Bladerunner	21	Transformer (target filtered)	my favorite . i like action movies .	0.3333333333333333	15.0
251	Yes , that 's what I asked . What did I do ?	11	DBDC Human Baseline 1	I don't know	21	Transformer (target filtered)	what did you think of it ?	0.3333333333333333	15.0
252	I don 't know , so you tell me	11	DBDC Human Baseline 1	what?	21	Transformer (target filtered)	i didn t tell you .	0.5333333333333333	15.0
253	Do you have pets ?	11	DBDC Human Baseline 1	no	21	Transformer (target filtered)	no sir . we do n't allow dogs or cats .	0.2	15.0
254	do you really think so ?	11	DBDC Human Baseline 1	Yes	21	Transformer (target filtered)	yes i do . if you ask around other people will tell you the same thing .	0.26666666666666666	15.0
255	No I don 't watch football in that way .	11	DBDC Human Baseline 1	what way?	21	Transformer (target filtered)	oh . . . by the way what s your favorite color ?	0.3333333333333333	15.0
256	What would you like to chat about ?	11	DBDC Human Baseline 1	Chatbots and neural networks.	21	Transformer (target filtered)	please .	0.06666666666666667	15.0
257	yes it is	11	DBDC Human Baseline 1	uh, no it is not	21	Transformer (target filtered)	i want to pick up my parcels .	0.2	15.0
258	I love movies	11	DBDC Human Baseline 1	Me too	21	Transformer (target filtered)	that 's great ! what 's the problem with you ?	0.4	15.0
259	You think I 'm funny ?	11	DBDC Human Baseline 1	No	21	Transformer (target filtered)	oh yes . is that what you think of ?	0.5333333333333333	15.0
260	I don 't get you	11	DBDC Human Baseline 1	I don't get you either.	21	Transformer (target filtered)	i love you .	0.26666666666666666	15.0
261	I know ... me too . Do you think they will have a movie on this flight ?	11	DBDC Human Baseline 1	probably	21	Transformer (target filtered)	my boss is taking the bus . can you change the channel ?	0.26666666666666666	15.0
262	Where is your last name from ?	11	DBDC Human Baseline 1	West Africa	21	Transformer (target filtered)	i 'm in the car business .	0.26666666666666666	15.0
263	but I think I love her too much	11	DBDC Human Baseline 1	Really? Don't do anything drastic Lenny	21	Transformer (target filtered)	oh i 've heard about her . she is quite a date .	0.5333333333333333	15.0
264	do you know any other jokes ?	11	DBDC Human Baseline 1	no	21	Transformer (target filtered)	i 'm usually busy on saturday night .	0.4	15.0
265	What do you mean by that	11	DBDC Human Baseline 1	I don't know	21	Transformer (target filtered)	i took a long walk through the neighborhood this morning on my way to the train station . it took me 20 minutes .	0.3333333333333333	15.0
266	Hello !	11	DBDC Human Baseline 1	hi	21	Transformer (target filtered)	hello is that stefan ?	0.5333333333333333	15.0
267	hi	11	DBDC Human Baseline 1	hi	21	Transformer (target filtered)	what are you planning to do today ?	0.4	15.0
268	ok , do it . I want to see	11	DBDC Human Baseline 1	Do what?	21	Transformer (target filtered)	the next step is to be done .	0.3333333333333333	15.0
269	nope	11	DBDC Human Baseline 1	huh	21	Transformer (target filtered)	have you updated your cv ?	0.13333333333333333	15.0
270	I like cake .	11	DBDC Human Baseline 1	Me too! Especially chocolate cake	21	Transformer (target filtered)	i really want to stick to a height .	0.13333333333333333	15.0
271	it 's already in my pocket !	11	DBDC Human Baseline 1	huh?	21	Transformer (target filtered)	is that everything ?	0.4	15.0
272	Where are they ?	11	DBDC Human Baseline 1	who?	21	Transformer (target filtered)	most of them are behind the school .	0.7333333333333333	15.0
273	Not really	11	DBDC Human Baseline 1	.	21	Transformer (target filtered)	i am not a child at all . i know more .	0.13333333333333333	15.0
274	that is not funny	11	DBDC Human Baseline 1	why not?	21	Transformer (target filtered)	no . is that what you said ?	0.26666666666666666	15.0
